timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
31358893,0.988296,0.000259514,0.0212593,0.151062,-0.0156484,-0.0719421,0.0169224,3.16127,0.869648,-0.00311101,2.06411e-05,3.2731e-06,-0.000346483,0.000227279,-0.000597978,0.000202042,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,1.2419e-10,1.05474e-05,0.000579701,5.70989e-07,3.24367e-05,3.17178e-05,9.01756e-05,0.027535,0.0275926,0.00409242,0.0227303,0.0227632,0.0012957,1.93823e-11,1.92821e-11,1.4307e-10,9.23164e-07,9.41655e-07,1.75181e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.213292,0.0359958,0.738489,0.0,0.000968913,0.00773442,0.0,0.000279037,0.0,0.04873,0,0,0,229,0,0,0,1
31563819,0.98695,0.000131601,0.0210902,0.15964,-0.0184943,-0.0653636,0.0174787,3.15941,0.872303,-0.00228105,2.07918e-05,3.27614e-06,-0.000351049,0.00024949,-0.000640482,0.000183212,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,1.00392e-10,1.02474e-05,0.000556374,5.55325e-07,3.24588e-05,3.17287e-05,8.86125e-05,0.0261338,0.0261736,0.00411728,0.022787,0.0228145,0.00132308,1.94621e-11,1.93641e-11,1.40044e-10,8.95924e-07,9.13869e-07,1.74737e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.213545,0.0363742,0.714454,0.0,0.000904793,0.00433645,0.0,1.86871e-05,0.0,0.048855,0,0,0,229,0,0,0,1
31764671,0.985716,4.45446e-05,0.0209841,0.167103,-0.0190791,-0.0545846,0.0202413,3.15901,0.878783,-0.000510852,2.08905e-05,3.28891e-06,-0.000354327,0.000256959,-0.000678201,0.000169289,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,9.07849e-11,1.01094e-05,0.000541972,5.51556e-07,3.24466e-05,3.17054e-05,8.68776e-05,0.0233554,0.0233768,0.00387031,0.0208584,0.0208769,0.00118899,1.95339e-11,1.94376e-11,1.37145e-10,8.67079e-07,8.84439e-07,1.74335e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.204292,0.0344817,0.696069,0.0,0.000824476,0.00108476,0.0,4.66797e-06,0.0,0.0489,0,0,0,229,0,0,0,1
31969295,0.984238,-9.13149e-05,0.0208747,0.175612,-0.0214038,-0.0493427,0.0217731,3.15743,0.880916,0.000383999,2.10305e-05,3.29553e-06,-0.000358525,0.00027663,-0.000708665,0.000151407,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,8.08915e-11,1.00957e-05,0.000530814,5.62725e-07,3.2503e-05,3.17546e-05,8.56265e-05,0.0223358,0.0223465,0.00394364,0.0210841,0.0210987,0.00123727,1.96128e-11,1.95185e-11,1.34397e-10,8.47585e-07,8.64603e-07,1.73938e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.205385,0.0351748,0.672608,0.0,0.00076293,8.84948e-05,0.0,0.000167167,0.0,0.048732,0,0,0,229,0,0,0,1
32170860,0.982906,-0.000190169,0.0208048,0.182931,-0.0228736,-0.0442221,0.0255006,3.15621,0.883249,0.00207523,2.11288e-05,3.30583e-06,-0.000361588,0.00028763,-0.000731225,0.000138184,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.74559e-11,1.01581e-05,0.000657248,5.85828e-07,3.25647e-05,3.18107e-05,8.4759e-05,0.0213586,0.0213606,0.00401815,0.0211147,0.0211256,0.00127769,1.96881e-11,1.95952e-11,1.32151e-10,8.31196e-07,8.47924e-07,1.73625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.205524,0.0357448,0.66433,0.0,0.000699813,0.00270943,0.0,0.000144832,0.0,0.048698,0,0,0,165,0,0,0,0
32375807,0.981355,-0.000311704,0.0206682,0.19109,-0.0239087,-0.0399984,0.0256911,3.15488,0.885568,0.00279858,2.12606e-05,3.31624e-06,-0.0003655,0.00030618,-0.0007532,0.000121081,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.02175e-11,1.01519e-05,0.000625466,6.20695e-07,3.26266e-05,3.1869e-05,8.35812e-05,0.0204067,0.0204017,0.00404901,0.0210262,0.0210335,0.0013057,1.97569e-11,1.9666e-11,1.29618e-10,8.16755e-07,8.33256e-07,1.73255e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043,0.205085,0.0361344,0.640551,0.0,0.000645803,0.00543904,0.0,7.12358e-05,0.0,0.048845,0,0,0,165,0,0,0,0
32576650,0.979925,-0.000463868,0.0205751,0.1983,-0.00112547,-0.0288145,0.0298688,-2.05742e-05,-0.000687751,0.0042202,2.13574e-05,3.32122e-06,-0.000368339,0.000315234,-0.00077468,0.00010859,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.0747e-11,1.02159e-05,0.000600189,6.67299e-07,3.26904e-05,3.19315e-05,8.22575e-05,0.000723866,0.000722082,0.00380907,100.0,100.0,0.00117676,1.98224e-11,1.9733e-11,1.27204e-10,8.042e-07,8.20486e-07,1.72941e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0343039,0.615307,0.0,0.00059617,0.00898156,0.0,0.00047989,0.0,0.048884,0,0,0,367,0,0,0,0
32781756,0.978268,-0.000669374,0.0201011,0.206366,0.0138552,-0.053305,0.0310775,0.0030902,-0.0112464,0.00509815,2.16724e-05,3.42815e-06,-0.000371808,0.000372129,-0.000732703,9.37918e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.93065e-11,1.09132e-05,0.000572633,7.27997e-07,3.24742e-05,3.17342e-05,8.1301e-05,0.000566433,0.000562022,0.0038843,100.0,100.0,0.00122661,1.97749e-11,1.96879e-11,1.24851e-10,7.91963e-07,8.08229e-07,1.72588e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.035023,0.590627,0.0,0.00059617,0.0111532,0.0,0.000632328,0.0,0.049193,0,0,0,367,0,0,0,0
32982268,0.976776,7.01961e-05,0.0207637,0.213255,0.0132162,-0.0145059,0.0323551,0.00627412,-0.0131344,0.00649193,2.11325e-05,3.62433e-06,-0.000374295,0.000210607,-0.000779136,8.16067e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.72583e-11,1.06762e-05,0.000555742,7.97918e-07,3.21005e-05,3.13798e-05,8.06466e-05,0.000783298,0.000778227,0.00393302,100.0,100.0,0.00125757,1.96736e-11,1.95878e-11,1.22926e-10,7.7598e-07,7.91916e-07,1.72318e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0354622,0.575985,0.0,0.00059617,0.0121976,0.0,0.00119919,0.0,0.048905,0,0,0,367,0,0,0,0
33182896,0.97502,0.00132416,0.0215318,0.221068,0.0185113,0.0474131,0.0322702,0.0101946,-0.00422163,0.0068224,2.03637e-05,4.02178e-06,-0.000377732,-2.76427e-05,-0.000804435,6.40186e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.56303e-11,1.0878e-05,0.000533762,8.78454e-07,3.14991e-05,3.0796e-05,7.9721e-05,0.00077251,0.000766418,0.00395343,100.0,100.0,0.00128025,1.94965e-11,1.94102e-11,1.20734e-10,7.55098e-07,7.70257e-07,1.7197e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0357806,0.551687,0.0,0.00059617,0.0136444,0.0,0.000828677,0.0,0.048733,0,0,0,367,0,0,0,0
33387879,0.97346,0.000486854,0.020906,0.227901,0.0140969,0.025794,0.0364255,0.0114333,0.00379042,0.00850762,2.09251e-05,3.84686e-06,-0.00037995,0.000123488,-0.000804605,5.54744e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.20919e-11,1.05293e-05,0.000506883,9.7052e-07,3.09224e-05,3.02277e-05,7.90706e-05,0.000705184,0.000695226,0.0039777,99.9999,99.9999,0.00130333,1.93237e-11,1.92364e-11,1.18843e-10,7.35622e-07,7.49854e-07,1.71669e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0361017,0.536779,0.0,0.00059617,0.0161681,0.0,0.000983467,0.0,0.048914,0,0,0,367,0,0,0,0
33589298,0.971664,9.43168e-05,0.0203002,0.235493,0.0192233,0.010931,0.0371037,0.015612,0.00177066,0.00848484,2.13495e-05,3.87652e-06,-0.000382968,0.00022091,-0.000768371,4.29187e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.87299e-11,1.02526e-05,0.000638201,1.07189e-06,3.03985e-05,2.97448e-05,7.77995e-05,0.000633532,0.000627222,0.00376967,99.9999,99.9999,0.00117921,1.91751e-11,1.9087e-11,1.16534e-10,7.18373e-07,7.32209e-07,1.71319e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0343397,0.516062,0.0,0.00059617,0.0185148,0.0,0.0011372,0.0,0.048735,0,0,0,367,0,0,0,0
33794256,0.969929,0.000418324,0.0209506,0.242484,0.00574754,0.0504511,0.0411946,0.0164452,0.0132171,0.0103174,2.09068e-05,3.86583e-06,-0.000385192,0.000114766,-0.000827114,3.20726e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.4661e-11,1.01931e-05,0.000620947,1.19079e-06,3.00733e-05,2.94371e-05,7.74562e-05,0.000735771,0.00072892,0.00385634,99.9999,99.9999,0.00123319,1.90849e-11,1.89968e-11,1.14916e-10,7.05477e-07,7.18876e-07,1.71072e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0351169,0.496302,0.0,0.00059617,0.0198725,0.0,0.00118525,0.0,0.048893,0,0,0,367,0,0,0,0
33995061,0.968044,0.000344813,0.0212356,0.249881,-0.0102636,0.0728237,0.0421166,0.012968,0.0303226,0.0113564,2.07694e-05,3.75954e-06,-0.000387997,8.90844e-05,-0.000881751,1.88467e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.18053e-11,1.08595e-05,0.00058843,1.31369e-06,2.97386e-05,2.9115e-05,7.6795e-05,0.00076162,0.000752636,0.00389572,99.9999,99.9999,0.00126324,1.89899e-11,1.89002e-11,1.13045e-10,6.93466e-07,7.06257e-07,1.70743e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0355421,0.472809,0.0,0.00059617,0.0222377,0.0,0.00135017,0.0,0.048898,0,0,0,367,0,0,0,0
34199873,0.966194,0.000994831,0.0227571,0.256809,-0.0477505,0.150193,0.0425608,0.00168534,0.0599099,0.0111012,1.98e-05,3.60994e-06,-0.000390321,-0.00012636,-0.000996443,6.60647e-06,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.27791e-11,1.07813e-05,0.000560835,1.44823e-06,2.9348e-05,2.87458e-05,7.60913e-05,0.000624668,0.000615122,0.00369251,99.9998,99.9998,0.00114627,1.88769e-11,1.87839e-11,1.11328e-10,6.80753e-07,6.92838e-07,1.70481e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0338566,0.456884,0.0,0.00059617,0.022845,0.0,0.00151042,0.0,0.048911,0,0,0,367,0,0,0,0
34400789,0.964245,0.000313361,0.0211848,0.264165,-0.0223321,0.106308,0.0441875,-0.000981805,0.076673,0.0123122,2.08038e-05,3.79524e-06,-0.000392957,9.15717e-05,-0.000904744,-3.18489e-06,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.9481e-11,1.02234e-05,0.000533684,1.59138e-06,2.90633e-05,2.8474e-05,7.55291e-05,0.000632206,0.000620315,0.00376633,99.9998,99.9998,0.00118828,1.87948e-11,1.87018e-11,1.0957e-10,6.70333e-07,6.81989e-07,1.70158e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0344714,0.442988,0.0,0.00059617,0.0255418,0.0,0.00156319,0.0,0.049004,0,0,0,367,0,0,0,0
34605407,0.962312,-0.000260609,0.0208842,0.271145,-0.0326835,0.0921298,0.0489415,-0.0076377,0.0925406,0.0143108,2.11584e-05,3.64393e-06,-0.000394973,0.000178654,-0.000930314,-1.15244e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.80282e-11,1.03577e-05,0.000519054,1.7554e-06,2.89184e-05,2.8346e-05,7.53288e-05,0.000867759,0.00085734,0.00386612,99.9998,99.9998,0.0012549,1.87611e-11,1.86692e-11,1.0816e-10,6.62529e-07,6.73996e-07,1.69928e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0354246,0.42775,0.0,0.00059617,0.0271687,0.0,0.00218566,0.0,0.048841,0,0,0,367,0,0,0,0
34806262,0.960259,-0.00020818,0.0210138,0.27832,-0.0428017,0.11208,0.0490565,-0.0171763,0.116012,0.0137785,2.10659e-05,3.64476e-06,-0.000397435,0.000155564,-0.000945126,-2.25743e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.56236e-11,1.02659e-05,0.000512124,1.91782e-06,2.89788e-05,2.84148e-05,7.44987e-05,0.0014854,0.00147643,0.00366014,99.9998,99.9998,0.00114096,1.87975e-11,1.87068e-11,1.0636e-10,6.58769e-07,6.70126e-07,1.69629e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0337781,0.396427,0.0,0.00059617,0.0292657,0.0,0.0022369,0.0,0.048899,0,0,1024,367,0,0,0,0
35007842,0.958321,-0.00160758,0.0198865,0.284996,-0.0458621,0.04594,0.0528202,-0.0265613,0.118656,0.0155727,2.20692e-05,3.3695e-06,-0.000399199,0.00038799,-0.000980206,-2.83008e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.10412e-11,1.03777e-05,0.00064607,2.09636e-06,2.83213e-05,2.77874e-05,7.42908e-05,0.000780388,0.00077123,0.00370714,99.9999,99.9999,0.00117228,1.85847e-11,1.84933e-11,1.05045e-10,6.42537e-07,6.53273e-07,1.69399e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0342386,0.378677,0.0,0.00059617,0.0310101,0.0,0.0018329,0.0,0.04888,0,0,0,367,0,0,0,0
35208610,0.956224,-0.00120207,0.0194635,0.291986,-0.0275148,0.0583712,0.0535887,-0.0318581,0.134148,0.0166806,2.21499e-05,3.72337e-06,-0.000401428,0.000393761,-0.000905553,-3.77451e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.9325e-11,1.01068e-05,0.000624317,2.27913e-06,2.81242e-05,2.76125e-05,7.3808e-05,0.000817731,0.0008121,0.00374935,99.9999,99.9999,0.00120274,1.85316e-11,1.84404e-11,1.03464e-10,6.34501e-07,6.44964e-07,1.69093e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0346805,0.364465,0.0,0.00059617,0.0334017,0.0,0.00204455,0.0,0.04884,0,0,0,367,0,0,0,0
35413407,0.954233,-0.000794565,0.0193991,0.298432,-0.0197425,0.0799034,0.0552319,-0.0375309,0.152325,0.0180873,2.20371e-05,3.9677e-06,-0.00040301,0.000363411,-0.000859287,-4.44384e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,6.64624e-11,9.95976e-06,0.000600456,2.47874e-06,2.7783e-05,2.72882e-05,7.35863e-05,0.000603272,0.000597694,0.00378244,99.9998,99.9998,0.00123026,1.84242e-11,1.83366e-11,1.02189e-10,6.24194e-07,6.34497e-07,1.68876e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0350751,0.337694,0.0,0.00059617,0.0356436,0.0,0.00218307,0.0,0.048842,0,0,0,367,0,0,0,0
35614229,0.952059,-0.00101698,0.0188915,0.305329,-0.0127281,0.069269,0.0581755,-0.0403965,0.164094,0.0192085,2.23475e-05,4.0472e-06,-0.000405056,0.000429486,-0.000843743,-5.29704e-05,0.174587,-9.09273e-10,-0.320987,0.0,0.0,0.0,0.0,0.0,0.0,7.17505e-11,1.04434e-05,0.000574622,2.68189e-06,2.76614e-05,2.71738e-05,7.31535e-05,0.000797479,0.000791839,0.00381199,99.9998,99.9998,0.00125566,1.83922e-11,1.83081e-11,1.00711e-10,6.17735e-07,6.27989e-07,1.68597e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051,14.1421,0.0354354,0.316163,0.0,0.00059617,0.0375327,0.0,0.00230262,0.0,0.048866,0,0,0,367,0,0,0,0
